"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"USRN"|"USRN_MATCH_INDICATOR"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
16468583|"Muirtown Primary School (Sports Hall)"|"04240293"|265021.0|845839.0|1|130052847|"osgb1000038812828"|10|84409492|1|84.9|""|"King Brude Road"|"Inverness"|"Inverness"|"IV3 8LU"|"Highland"|"01463239537"|""|""|""|""|"Sport Scotland"|"01-SEP-2021"
36969286|"Muirtown Primary School (Football Pitch)"|"04240302"|265021.0|845839.0|1|130052847|"osgb1000038812828"|10|84409492|1|84.9|""|"King Brude Road"|"Inverness"|"Inverness"|"IV3 8LU"|"Highland"|"01463239537"|""|""|""|""|"Sport Scotland"|"01-SEP-2021"
32819888|"Bus Stop (Glengarry Road)"|"10590732"|265012.0|845435.0|1||"Not Assigned"|0|84410280|3|12.6|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|"SMS Number"|"45328926"|"Department for Transport"|"01-SEP-2021"
43501424|"Muirtown Primary School"|"05310375"|265021.0|845839.0|1|130052847|"osgb1000038812828"|10|84409492|1|84.9|""|"King Brude Road"|"Inverness"|"Inverness"|"IV3 8LU"|"Highland"|"01463239537"|""|""|""|""|"Information and Analytical Services Division - Education Department"|"01-SEP-2021"
63921926|"Electricity Sub Station"|"06340433"|265021.0|845591.0|1||"osgb1000038821445"|5|84410280|3|12.2|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
68580146|"Letter Box"|"06340457"|265037.0|845408.0|1||"osgb1000000292128427"|1|84410112|3|6.3|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
161021378|"Jetties"|"10560753"|265011.7|845135.3|2||"Not Assigned"|0|84410303|3|108.7|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
161038146|"Playing Field"|"04240302"|265065.9|844421.6|2||"Not Assigned"|0|84417461|3|170.2|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
161061874|"Recreation Ground"|"04240302"|265076.0|844945.6|2||"Not Assigned"|0|84416261|3|141.7|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
161120751|"Slipway"|"10560753"|265043.1|844638.5|2||"Not Assigned"|0|84410302|3|90.3|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
18117680|"Tweedmouth Memorial Chapel"|"06340459"|266312.0|844461.0|1||"osgb1000038830129"|4|84410187|3|55.0|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|"Religion"|"Not Identified (Christian)"|"Ordnance Survey"|"01-SEP-2021"
18156127|"War Memorial"|"03170245"|266483.0|844507.0|1||"osgb1000000292178387"|4|84402142|3|47.9|""|""|""|"Inverness"|"IV2"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
16426157|"Cairn Medical Practice"|"05280369"|266788.0|844564.0|1|130037501|"osgb1000038829213"|3|84402056|1|30.1|"15"|"Culduthel Road"|"Inverness"|"Inverness"|"IV2 4AG"|"Highland"|"01463712233"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
16429437|"Riverside Medical Practice"|"05280369"|266270.0|844413.0|1|130144221|"osgb1000038830132"|4|84410007|1|27.6|""|"Ballifeary Lane"|"Inverness"|"Inverness"|"IV3 5PW"|"Highland"|"01463715999"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
16429439|"Southside Road Surgery"|"05280369"|266892.0|844487.0|1|130042262|"osgb1000038830044"|3|84409629|1|20.3|"43"|"Southside Road"|"Inverness"|"Inverness"|"IV2 4XA"|"Highland"|"01463710222"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
16444178|"Lloyds Pharmacy"|"05280364"|266269.9|844413.4|1|130144221|"osgb1000038830132"|4|84410007|1|28.0|""|"Ballifeary Lane"|"Inverness"|"Inverness"|"IV3 5SG"|"Highland"|"01463233295"|"www.lloydspharmacy.com"|"Lloyds Pharmacy"|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
20365340|"Royal Northern Infirmary"|"05280371"|266262.0|844463.0|1|130104196|"osgb1000000293465882"|4|84410187|1|105.0|"Royal Northern Infirmary"|"Ness Walk"|"Inverness"|"Inverness"|"IV3 5SF"|"Highland"|"01463704000"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
20366105|"Southside Lodge"|"05280365"|266884.0|844469.0|1|130028577|"osgb1000038830101"|3|84409629|1|30.4|"Southside Lodge 45"|"Southside Road"|"Inverness"|"Inverness"|"IV2 4XA"|"Highland"|"01463704647"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
16471949|"Inverness Tennis and Squash Club (Squash Court)"|"04240303"|266293.0|844616.0|1|130171555|"osgb1000038829396"|5|84410021|1|56.6|"5"|"Bishops Road"|"Inverness"|"Inverness"|"IV3 5SB"|"Highland"|"01463235353"|""|""|""|""|"Sport Scotland"|"01-SEP-2021"
16587773|"Bellfield Park (Outdoor Tennis Court)"|"04240305"|266622.0|844344.0|1||"osgb1000000292181524"|4|84410018|2|30.4|"Bellfield Park"|""|"Inverness"|"Inverness"|"IV2"|"Highland"|""|""|""|""|""|"Sport Scotland"|"01-SEP-2021"
36969303|"Inverness Tennis and Squash Club (Fixed Weights Room)"|"04240293"|266293.0|844616.0|1|130171555|"osgb1000038829396"|5|84410021|1|56.6|"5"|"Bishops Road"|"Inverness"|"Inverness"|"IV3 5SB"|"Highland"|"01463235353"|""|""|""|""|"Sport Scotland"|"01-SEP-2021"
36969353|"Northern Meeting Park (Cricket Square)"|"04240302"|266300.0|844850.0|1|130106610|"osgb1000000292178424"|9|84410388|1|57.3|"Caretakers Flat Northern Meeting Park"|"Ardross Street"|"Inverness"|"Inverness"|"IV3 5NS"|"Highland"|"01463724224"|""|""|""|""|"Sport Scotland"|"01-SEP-2021"
22104073|"Bus Stop (Dalneigh Road)"|"10590732"|265793.0|844842.0|1||"Not Assigned"|0|84410068|3|7.1|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|"SMS Number"|"45325368"|"Department for Transport"|"01-SEP-2021"
22104074|"Bus Stop (Bruce Gardens)"|"10590732"|265781.0|844729.0|1||"Not Assigned"|0|84410068|3|8.8|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|"SMS Number"|"45325284"|"Department for Transport"|"01-SEP-2021"
22104075|"Bus Stop (Planefield Road)"|"10590732"|266215.0|844985.0|1||"Not Assigned"|0|84402241|3|16.4|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|"SMS Number"|"45325283"|"Department for Transport"|"01-SEP-2021"
22104076|"Bus Stop (Planefield Road)"|"10590732"|266231.0|844978.0|1||"Not Assigned"|0|84402241|3|1.1|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|"SMS Number"|"45325282"|"Department for Transport"|"01-SEP-2021"
22104147|"Bus Stop (Ardlarich Medical Centre)"|"10590732"|266765.0|844568.0|1||"Not Assigned"|0|84402056|3|12.1|""|""|""|"Inverness"|"IV2"|"Highland"|""|""|""|"SMS Number"|"45325457"|"Department for Transport"|"01-SEP-2021"
22104182|"Bus Stop (Ardlarich Medical Centre)"|"10590732"|266776.0|844485.0|1||"Not Assigned"|0|84402056|3|11.0|""|""|""|"Inverness"|"IV2"|"Highland"|""|""|""|"SMS Number"|"45325636"|"Department for Transport"|"01-SEP-2021"
22104209|"Bus Stop (Paton Street)"|"10590732"|266564.0|844663.0|1||"Not Assigned"|0|84402127|3|15.0|""|""|""|"Inverness"|"IV2"|"Highland"|""|""|""|"SMS Number"|"45325724"|"Department for Transport"|"01-SEP-2021"
22104210|"Bus Stop (View Place)"|"10590732"|266630.0|844914.0|1||"Not Assigned"|0|84409622|3|15.4|""|""|""|"Inverness"|"IV2"|"Highland"|""|""|""|"SMS Number"|"45325725"|"Department for Transport"|"01-SEP-2021"
22104050|"Bus Stop (Maxwell Drive)"|"10590732"|265884.0|844292.0|1||"Not Assigned"|0|84402119|3|3.6|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|"SMS Number"|"45325438"|"Department for Transport"|"01-SEP-2021"
22104051|"Bus Stop (Maxwell Drive)"|"10590732"|265869.0|844299.0|1||"Not Assigned"|0|84402119|3|13.0|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|"SMS Number"|"45325437"|"Department for Transport"|"01-SEP-2021"
22104052|"Bus Stop (Glenurquhart Road)"|"10590732"|265954.0|844496.0|1||"Not Assigned"|0|84402119|3|13.5|""|""|""|"Inverness"|"IV3"|"Highland"|""|""|""|"SMS Number"|"45325436"|"Department for Transport"|"01-SEP-2021"
