UNIQUE_REFERENCE_NUMBER,NAME,POINTX_CLASSIFICATION_CODE,FEATURE_EASTING,FEATURE_NORTHING,POSITIONAL_ACCURACY_CODE,UPRN,TOPOGRAPHIC_TOID,TOPOGRAPHIC_TOID_VERSION,USRN,USRN_MATCH_INDICATOR,DISTANCE,ADDRESS_DETAIL,STREET_NAME,LOCALITY,GEOGRAPHIC_COUNTY,POSTCODE,ADMINISTRATIVE_BOUNDARY,TELEPHONE_NUMBER,URL,BRAND,QUALIFIER_TYPE,QUALIFIER_DATA,PROVENANCE,DATE_OF_SUPPLY
95725150,Maple Installations,2140214,291003.0,92021.0,1,100040223174.0,osgb1000012292712,8,14200525,1,13.6,27,Maple Road,Exeter,Devon,EX4 1BP,Exeter District,1392422902.0,,,,,118 Information,01-SEP-2021
21841363,Bus Stop (Streatham Drive),10590732,291412.0,93555.0,1,,Not Assigned,0,14200580,3,3.1,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmdjd,Department for Transport,01-SEP-2021
21841364,Bus Stop (Harefield Close),10590732,291282.0,93718.0,1,,Not Assigned,0,14200580,3,5.4,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmdga,Department for Transport,01-SEP-2021
21841367,Bus Stop (Birks Grange),10590732,291150.0,93950.0,1,,Not Assigned,0,14200580,3,3.6,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmatj,Department for Transport,01-SEP-2021
21841385,Bus Stop (Perry Road),10590732,291770.0,93638.0,1,,Not Assigned,0,14200643,3,18.8,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmgjp,Department for Transport,01-SEP-2021
21841209,Bus Stop (Iddesleigh Road),10590732,292949.0,93583.0,1,,Not Assigned,0,14200611,3,4.9,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmtaw,Department for Transport,01-SEP-2021
21841246,Bus Stop (Sorry Head),10590732,292883.0,93294.0,1,,Not Assigned,0,14200081,3,3.5,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmpwg,Department for Transport,01-SEP-2021
21841247,Bus Stop (Exeter Trust House),10590732,292885.0,93286.0,1,,Not Assigned,0,14200081,3,2.7,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmpwm,Department for Transport,01-SEP-2021
21842709,Bus Stop (St Davids Station),10590732,291191.0,93361.0,1,,Not Assigned,0,14201566,3,12.4,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmawd,Department for Transport,01-SEP-2021
21842813,Bus Stop (The Imperial),10590732,291474.0,93386.0,1,,Not Assigned,0,14200580,3,5.1,,,,Devon,EX4,Exeter District,,,,SMS Number,dvngdptj,Department for Transport,01-SEP-2021
17784451,Flagstaff,3170245,291646.0,93719.0,2,,Not Assigned,0,14200643,3,4.9,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
103902004,St James Road Care Home,5280373,292661.0,93396.0,1,10013043905.0,osgb1000012323116,4,14200786,1,18.5,14,St. James Road,Exeter,Devon,EX4 6PY,Exeter District,1392670160.0,,,,,Wilmington Healthcare Ltd,01-SEP-2021
47980757,Starbucks Coffee Co UK Ltd,1020013,291173.0,93310.3,1,10013050444.0,osgb1000012295161,3,14201566,1,19.8,Admin Block St. Davids Railway Station,St. Davids,Exeter,Devon,EX4 4NT,Exeter District,1392424099.0,www.starbucks.co.uk,Starbucks Coffee,,,118 Information,01-SEP-2021
48057529,The Imperial,1020034,291426.0,93429.0,1,10023117166.0,osgb1000012295095,4,14200580,1,40.3,,New North Road,Exeter,Devon,EX4 4AH,Exeter District,1392434050.0,www.jdwetherspoon.co.uk,Wetherspoon,,,118 Information,01-SEP-2021
54615385,Spillers Chauffeur Hire Co,2600113,291422.0,93870.0,1,100040221742.0,osgb1000012293796,5,14200492,2,10.7,Lodge Hill,,Exeter,Devon,EX4 4AB,Exeter District,1392433560.0,www.spillers-chauffeurhire.co.uk,,,,118 Information,01-SEP-2021
