name,brand,qualifier_data,qualifier_type,locality,street_name,distance,url,address_detail,geographic_county,postcode,administrative_boundary,telephone_number,feature_easting,feature_northing,pointx_classification_code,unique_reference_number,group_code,category_code,pointx_class_code,group,category,pointx_class
Maple Installations,,,,Exeter,Maple Road,13.6,,27,Devon,EX4 1BP,Exeter District,1392422902.0,291003.0,92021.0,2140214,95725150,02,14,0214,Commercial services,Research and design,Design services
Bus Stop (Streatham Drive),,dvndmdjd,SMS Number,,,3.1,,,Devon,EX4,Exeter District,,291412.0,93555.0,10590732,21841363,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Harefield Close),,dvndmdga,SMS Number,,,5.4,,,Devon,EX4,Exeter District,,291282.0,93718.0,10590732,21841364,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Birks Grange),,dvndmatj,SMS Number,,,3.6,,,Devon,EX4,Exeter District,,291150.0,93950.0,10590732,21841367,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Perry Road),,dvndmgjp,SMS Number,,,18.8,,,Devon,EX4,Exeter District,,291770.0,93638.0,10590732,21841385,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Iddesleigh Road),,dvndmtaw,SMS Number,,,4.9,,,Devon,EX4,Exeter District,,292949.0,93583.0,10590732,21841209,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Sorry Head),,dvndmpwg,SMS Number,,,3.5,,,Devon,EX4,Exeter District,,292883.0,93294.0,10590732,21841246,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Exeter Trust House),,dvndmpwm,SMS Number,,,2.7,,,Devon,EX4,Exeter District,,292885.0,93286.0,10590732,21841247,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (St Davids Station),,dvndmawd,SMS Number,,,12.4,,,Devon,EX4,Exeter District,,291191.0,93361.0,10590732,21842709,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (The Imperial),,dvngdptj,SMS Number,,,5.1,,,Devon,EX4,Exeter District,,291474.0,93386.0,10590732,21842813,10,59,0732,Transport,Bus transport,Bus stops
Flagstaff,,,,,,4.9,,,Devon,EX4,Exeter District,,291646.0,93719.0,3170245,17784451,03,17,0245,Attractions,Historical and cultural,Historic and ceremonial structures
